ticker,name,score,market_cap_b,iv_rank,institutional_ownership,price
HUM,Humana Inc.,170.3312698157975,34.12352,86.89661548842824,96.016,283.72
ORCL,Oracle Corporation,142.2532575015234,815.725871104,98.44447962403264,44.501000000000005,286.14
PFE,Pfizer Inc.,138.3303424758353,155.613528064,82.79882591270339,67.06800000000001,27.37
TMO,Thermo Fisher Scientific Inc.,120.05916143469192,205.16421632,62.67738692812458,91.551,543.32
FCX,Freeport-McMoRan Inc.,111.14746484956785,56.95715328,59.41173019540723,87.08,39.67
DHR,Danaher Corporation,96.58300684558057,153.943932928,52.84661762935231,82.761,214.99
AMGN,Amgen Inc.,95.54708950994109,160.372621312,51.89364032888214,84.121,297.89
GOOGL,Alphabet Inc.,83.42681434692008,2971.275624448,46.11815058265572,80.898005,245.35
SCHW,The Charles Schwab Corporation,77.10720442483724,170.77583872,41.766263175909586,84.616,94.08
